1E-05 1,25E-11 2,5E-06
0,451717219795122 0,0250661051744305 0,109086251412711
0,459231914318787 0,02589219447318 0,110772581462398
0,466859539219911 0,0267436332590749 0,112477841598565
0,474602018823646 0,0276211693421122 0,114202070424066
0,482461331190782 0,0285255734171433 0,115945298521282
0,490439510423671 0,0294576398791409 0,11770754791074
0,498538649091477 0,0304181876744089 0,119488831473693
0,506760900781518 0,0314080611895436 0,121289152335881
0,51510848278409 0,0324281311800607 0,123108503209506
0,523583678918475 0,0334792957406824 0,124946865690146
0,532188842508364 0,0345624813193726 0,126804209505089
0,540926399515363 0,0356786437772957 0,128680491709199
0,549798851839795 0,0368287694969671 0,130575655824133
0,558808780798523 0,038013876540952 0,132489630916301
0,567958850790041 0,0392350158635433 0,134422330608579
0,577251813157682 0,0404932725779413 0,136373652020278
0,58669051026234 0,0417897672815147 0,138343474629406
0,596277879776691 0,0431256574417872 0,140331659050676
0,606016959213454 0,0445021388458284 0,142338045722073
0,615910890700864 0,0459204471157581 0,144362453492165
0,625962926019064 0,0473818592930663 0,146404678099523
0,636176431911637 0,0488876954944139 0,148464490534835
0,646554895686947 0,050439320641489 0,150541635275339
0,657101931124555 0,052038146267403 0,152635828380227
0,667821284701973 0,0536856324018573 0,154746755434482
0,678716842157547 0,0553832895370992 0,156874069327461
0,689792635405026 0,0571326806762707 0,159017387851076
0,701052849815316 0,0589354234652921 0,161176291100979
0,71250183188035 0,0607931924087703 0,16335031866245
0,724144097273209 0,0627077211696175 0,165538966560866
0,735984339317331 0,0646808049510383 0,167741683954591
0,74802743787558 0,066714302958217 0,169957869545886
0,760278468667707 0,0688101409354804 0,17218686768301
0,77274271302077 0,0709703137726305 0,17442796412395
0,785425668052825 0,0731968881717234 0,176680381429315
0,798333057284055 0,0754920053624997 0,178943273948689
0,811470841661794 0,077857883850931 0,181215722361257
0,824845230976146 0,0802968221807853 0,183496727727752
0,838462695630514 0,0828112016825288 0,185785205006695
0,852329978715965 0,0854034891771296 0,188079975983612
0,866454108318826 0,088076239594051 0,190379761557336
0,880842409967106 0,0908320984527858 0,192683173322754
0,895502519091554 0,0936738041452024 0,194988704384535
0,910442393340512 0,0966041899413981 0,197294719331519
0,925670324542945 0,0996261856242463 0,199599443296833
0,941194950058995 0,102742818636741 0,201900950024595
0,95702526319041 0,105957214600996 0,204197148860651
0,973170622241939 0,109272597037621 0,206485770582654
0,989640757726287 0,112692286078277 0,208764351984472
1,00644577708687 0,116219695921679 0,21103021913235
1,02359616617081 0,119858330733166 0,21328046921649
1,04110278651556 0,123611778629137 0,215511950933085
1,05897686731335 0,127483703319285 0,217721243350354
1,07722999068363 0,131477832900829 0,219904633239905
1,09587406861347 0,1355979452094 0,222058090894874
1,11492130961637 0,139847849030869 0,224177244512157
1,13438417281311 0,144231360368493 0,226257353292232
1,15427530675805 0,148752272842566 0,228293279511537
1,17460746993147 0,1534143211802 0,230279459955162
